PctPopUnderPov,PctUnemployed,PolicPerPop,Pcthomeless,PctBSorMore,ViolentCrimesPerPop
0.73,0.73,0.35,0.47,0.22,0.94
0.3,0.21,0.15,0.13,0.66,0.35
0.73,0.61,0.02,1.1400000000000001,0.42,1.0
0.49,0.54,0.37,1.5,0.48,0.81
0.42,0.32,0.24,0.2,0.24,0.24
0.48,0.43,0.23,0.09,0.28,0.81
0.54,0.65,0.43,2.0,0.23,0.53
0.47,0.47,0.18,0.04,0.17,0.54
0.89,0.65,0.68,0.1,0.27,0.35
0.47,0.48,0.24,1.37,0.43,0.72
0.37,0.47,0.13,0.01,0.16,0.51
0.14,0.13,0.2,0.03,0.83,0.16
0.55,0.58,0.12,0.02,0.16,0.62
0.73,1.0,0.11,0.21,0.08,0.9
0.65,0.55,0.22,0.19,0.23,0.34
0.2,0.32,0.08,0.01,0.25,0.21
0.37,0.42,0.22,0.11,0.48,0.28
0.07,0.12,0.08,0.0,0.76,0.13
0.18,0.17,0.21,0.22,0.8,0.27
0.11,0.32,0.18,0.0,0.33,0.17
0.47,0.81,0.33,0.25,0.22,1.0
0.39,0.45,0.21,0.19999999999999998,0.27,0.43
0.55,0.43,0.24,0.01,0.26,0.7
0.74,0.76,0.17,0.02,0.25,0.61
0.27,0.3,0.28,0.22999999999999998,0.89,0.41
0.17,0.35,0.28,0.05,0.41,0.18
0.08,0.2,0.16,0.0,0.51,0.21
0.08,0.24,0.18,0.06,0.55,0.06
0.06,0.19,0.26,0.05,0.8,0.02
0.19,0.27,0.12,0.01,0.28,0.23
0.35,0.59,0.21,0.14,0.13,0.58
0.41,0.74,0.09,0.24000000000000002,0.19,0.5
0.34,0.26,0.72,0.07,0.33,0.76
0.27,0.31,0.12,0.0,0.42,0.17
0.7,0.41,0.2,0.04,0.66,0.65
0.37,0.31,0.67,0.06,0.45,0.35
0.19,0.28,0.08,0.0,0.32,0.26
0.22,0.27,0.24,0.01,1.0,0.2
0.08,0.31,0.98,0.0,0.33,0.02
0.25,0.37,0.12,0.12,0.26,0.46
0.4,0.46,0.25,0.57,0.35,1.0
0.08,0.21,0.19,0.0,0.76,0.09
0.14,0.24,0.09,0.0,0.56,0.1
0.14,0.33,0.22,0.0,0.4,0.15
0.65,0.51,0.25,0.63,0.35,0.64
0.49,0.45,0.18,0.19,0.25,0.25
0.71,0.44,0.19,0.04,0.44,0.51
0.56,0.51,0.17,0.19,0.31,0.52
0.76,0.99,0.35,0.5800000000000001,0.11,0.69
0.32,0.57,0.27,0.04,0.29,0.65
0.09,0.25,0.21,0.01,0.34,0.17
0.61,0.61,0.29,0.24000000000000002,0.34,0.38
0.23,0.16,1,0.0,0.19,0.19
0.71,0.71,0.27,0.25,0.18,0.67
0.32,0.36,0.38,0.02,0.52,0.49
0.11,0.21,0.07,0.0,0.6,0.1
0.67,0.66,0.1,0.43,0.25,0.43
0.15,0.4,0.14,0.05,0.59,0.4
0.42,0.39,0.33,0.16,0.28,1.0
0.44,0.44,0.85,1.3,0.54,1.0
0.42,0.17,0.13,0.13,0.69,0.13
0.36,0.43,0.09,0.0,0.24,1.0
0.24,0.33,0.02,0.8700000000000001,0.4,0.27
0.43,0.33,0.19,0.69,0.49,0.33
0.5,0.29,0.12,0.19,0.97,0.09
0.13,0.21,0.2,0.0,0.18,0.1
0.28,0.46,0.18,0.12000000000000001,0.19,0.37
0.6,0.59,0.14,0.51,0.28,0.28
0.58,0.58,0.15,0.03,0.44,0.36
0.07,0.14,0.25,0.01,1.0,0.05
0.1,0.22,0.1,0.07,0.48,0.2
0.39,0.37,0.12,0.02,0.62,0.09
0.21,0.3,0.13,0.03,0.36,0.2
0.83,0.75,0.68,1.13,0.19,1.0
0.08,0.33,0.2,0.03,0.37,0.06
0.44,0.84,0.24,0.08,0.14,0.59
0.5,0.63,0.15,0.94,0.43,1.0
0.28,0.35,0.12,0.01,0.3,0.19
0.21,0.41,0.09,0.05,0.3,0.6
0.48,0.56,0.11,0.69,0.15,0.45
0.08,0.25,0.13,0.0,0.38,0.06
0.59,0.33,0.2,0.16,0.66,0.82
0.16,0.21,0.31,0.0,0.81,0.4
0.38,0.38,0.15,1.25,0.41,0.76
0.38,0.38,0.14,0.05,0.46,0.19
0.15,0.38,0.37,0.0,0.23,0.18
0.39,0.45,0.1,0.27,0.31,0.4
0.57,0.6,0.04,0.5599999999999999,0.31,0.52
0.44,0.46,0.15,0.02,0.21,0.27
0.14,0.32,0.19,0.13,0.43,0.11
0.52,0.53,0.15,0.02,0.39,0.47
0.85,0.86,0.28,0.71,0.35,0.84
0.15,0.23,0.1,0.48,0.48,0.18
0.45,0.46,0.15,0.04,0.29,0.34
0.51,0.48,0.16,0.03,0.2,0.33
0.64,0.56,0.09,0.67,0.3,0.59
0.77,0.77,0.5,0.03,0.28,1.0
0.88,0.7,0.15,0.04,0.3,0.31
0.39,0.37,0.17,0.41000000000000003,0.41,0.54
0.37,0.41,0.16,1.63,0.31,0.45
0.3,0.36,0.08,0.1,0.27,0.34
0.3,0.41,0.14,0.74,0.2,0.42
0.3,0.39,0.18,0.03,0.5,0.1
0.1,0.2,0.15,0.0,0.75,0.11
0.67,0.59,0.34,0.09,0.33,0.82
0.37,0.67,0.25,0.04,0.12,0.26
0.98,1.0,0.35,0.45000000000000007,0.08,1.0
0.6,0.58,0.16,0.05,0.43,0.59
0.53,0.54,0.26,0.060000000000000005,0.31,0.12
0.6,0.51,0.3,0.09,0.25,0.86
0.44,0.52,0.14,0.04,0.14,0.59
0.57,0.7,0.09,0.44,0.23,0.65
0.62,0.58,0.26,0.17,0.29,0.48
0.15,0.32,0.25,0.02,0.81,0.21
0.59,0.61,0.16,0.16,0.34,0.44
0.54,0.55,0.18,0.04,0.24,0.13
0.15,0.3,0.1,0.01,0.4,0.11
0.18,0.4,0.08,0.26,0.43,0.36
0.4,0.41,0.16,0.02,0.2,0.12
0.32,0.42,0.08,0.25,0.19,0.41
0.61,0.58,0.21,0.47,0.27,0.67
1.0,0.83,0.2,0.01,0.38,0.81
0.2,0.25,0.11,0.12,0.41,0.2
0.43,0.57,0.26,0.0,0.18,0.23
0.44,0.46,0.1,0.27,0.24,0.76
0.63,0.72,0.16,0.02,0.28,0.37
0.38,0.4,0.09,0.14,0.34,0.14
0.43,0.38,0.39,0.05,0.65,0.32
0.6,0.53,0.27,0.36,0.35,0.35
0.16,0.28,0.15,0.0,0.26,0.21
0.27,0.38,0.09,0.06,0.25,0.25
0.67,0.79,0.2,0.1,0.31,0.53
0.25,0.26,0.11,0.1,0.48,0.22
0.49,0.42,0.21,0.6799999999999999,0.49,0.75
0.17,0.35,0.2,0.01,0.37,0.32
0.55,0.38,0.26,0.22000000000000003,0.25,1.0
0.52,0.41,0.13,0.06999999999999999,0.41,0.27
0.37,0.44,0.14,0.04,0.33,0.5
0.23,0.23,0.12,0.0,0.26,0.18
0.45,0.41,0.2,0.03,0.41,0.1
0.42,0.46,0.19,0.06999999999999999,0.26,0.24
0.56,0.35,0.24,0.21,0.51,0.87
0.45,0.42,0.25,0.91,0.47,0.43
0.33,0.51,0.19,0.06,0.26,0.3
0.24,0.29,0.1,0.33,0.33,0.3
0.68,0.8,0.33,0.18000000000000002,0.24,0.8
0.54,0.55,0.2,0.0,0.15,0.9
0.21,0.2,1,0.0,0.4,0.17
0.45,0.72,0.29,0.15,0.18,0.79
0.16,0.37,0.18,0.02,0.46,0.03
0.51,0.39,0.22,0.05,0.56,0.07
0.68,1.0,0.3,0.01,0.08,1.0
0.21,0.22,0.5,0.01,0.3,0.09
0.41,0.4,0.13,0.13,0.31,0.65
0.21,0.29,0.1,0.03,0.48,0.32
0.45,0.42,0.28,1.1400000000000001,0.34,0.59
0.11,0.2,0.1,0.0,0.61,0.09
1.0,0.77,0.1,0.0,0.17,0.28
0.3,0.33,0.18,0.41000000000000003,0.35,0.28
0.14,0.2,0.12,0.17,0.41,0.12
0.51,0.41,0.28,0.5700000000000001,0.29,1.0
0.23,0.22,0.12,0.19,0.44,0.19
0.45,0.32,0.18,0.04,0.27,0.42
0.16,0.22,0.1,0.01,0.38,0.13
0.15,0.06,0.83,0.0,0.46,0.06
0.37,0.44,0.09,0.09,0.46,0.15
0.52,0.45,0.21,0.02,0.26,0.67
0.37,0.36,0.13,0.15,0.29,0.35
0.42,0.63,0.19,0.41,0.35,1.0
0.46,0.33,0.16,0.9099999999999999,0.97,0.67
0.4,0.54,0.17,0.04,0.28,0.75
0.51,0.37,0.27,0.22,0.26,0.47
0.39,0.39,0.15,0.16,0.59,0.53
0.13,0.13,0.13,0.04,0.75,0.09
0.47,0.34,0.43,0.07,0.47,0.72
0.58,0.59,0.29,0.1,0.37,0.62
0.59,0.38,0.2,0.07,0.32,0.5
0.49,0.76,0.24,0.37,0.12,0.65
0.42,0.45,0.17,1.13,0.34,0.57
0.13,0.31,0.21,0.12,0.2,0.16
0.42,0.46,0.2,0.01,0.24,0.44
0.04,0.2,0.19,0.0,0.67,0.06
0.7,1.0,0.03,2.0,0.12,1.0
0.15,0.13,1,0.02,0.62,0.22
0.42,0.49,0.22,0.02,0.22,0.34
0.41,0.25,0.42,0.9400000000000001,0.36,0.95
0.57,0.3,0.32,0.1,0.47,0.53
0.73,1.0,0.19,0.09,0.14,0.88
0.14,0.42,0.33,0.0,0.18,0.22
0.35,0.3,0.14,0.03,0.6,0.23
0.6,0.54,0.13,0.5499999999999999,0.26,0.41
0.49,0.6,0.1,0.13,0.2,0.67
0.33,0.26,0.14,0.29,0.53,0.32
0.49,0.47,0.27,0.12,0.46,0.56
0.3,0.38,0.15,0.09,0.24,0.23
0.35,0.34,0.1,2.0,0.48,0.48
0.38,0.31,0.03,0.08,0.49,1.0
0.38,0.44,0.38,0.02,0.34,0.45
0.32,0.33,0.26,0.64,0.34,0.69
0.33,0.38,0.23,2.0,0.57,0.75
0.1,0.2,0.17,0.02,0.52,0.07
0.31,0.5,0.3,0.08,0.21,0.23
0.16,0.37,0.25,0.05,0.42,0.19
0.35,0.47,0.11,0.16,0.16,0.48
